薙	艹矢亻亠龶
啴	口丷丨乛一一一丨
梴	木丿丨一乛廴
儳	亻⺈口比左匕⺈丨乛一丿乛丶
单	丷丨乛一一一丨
辿	辶山
𬊤	火丷丨乛一一一丨
长	丿一乛ㄟ
常	⺌冖口巾
场	土乛丿丿
唱	口日日
厂	一丿
尝	⺌冖二厶
昌	日日
畅	申乛丿丿
肠	月乛丿丿
偿	亻⺌冖二厶
敞	⺌冂口攵
怅	忄长
倡	亻日日
娼	女日日
嫦	女⺌冖口巾
猖	犭日日
昶	永日
徜	彳⺌冂口
氅	⺌冂口攵毛
伥	亻长
裳	⺌冖口亠𧘇
菖	艹日日
苌	艹长
阊	门日日
鬯	乂丶丶丶丶凵匕
惝	忄⺌冂口
鲳	鱼日日
鲿	鱼⺌冖二厶
𬬮	钅长
朝	十日十月
超	土丨一人刀口
潮	氵十日十月
吵	口少
嘲	口十日十月
抄	扌少
炒	火少
巢	乛乛乛果
钞	钅少
晁	日儿冫丿丶
焯	火丨一日十
耖	耒少
怊	忄刀口
弨	弓刀口
绰	纟丨一日十
车	一乛一丨
彻	彳七刀
扯	扌止
撤	扌亠厶月攵
澈	氵亠厶月攵
掣	丿一一丨乛丨刂手
砗	石车
坼	土斥
尺	尸ㄟ
㬚	日亠厶月攵
沉	氵冖几
陈	阝东
臣	匚丨乛一丨
晨	日厂二乛丿ㄟ
尘	小土
趁	土丨一人人丿丿丿
辰	厂二乛丿ㄟ
衬	衤寸
嗔	口十具上八
琛	王冖八木
称	禾⺈小
宸	宀厂二乛丿ㄟ
忱	忄丶乛丿乛
抻	扌申
碜	石厶大丿丿丿
谌	讠其上八乛
谶	讠人人戈韭
郴	木木阝
棽	木木人丶乛
瞋	目十具上八
榇	木立朩
龀	止人凵匕
疢	疒火
梣	木山人丶乛
煁	火其上八乛
𬘭	纟木木
成	戊乛
城	土成
程	禾口王
承	乛丨一一一乛丿ㄟ
诚	讠成
盛	成皿
乘	千丨一一匕丿ㄟ
撑	扌⺌冖口手
呈	口王
惩	彳正心
丞	了乛丿ㄟ一
澄	氵乛丶丿丿ㄟ一口丷一
逞	辶口王
橙	木乛丶丿丿ㄟ一口丷一
骋	马由一乛
瞠	目⺌冖口土
秤	禾平
铖	钅成
塍	月龹土
琤	王⺈乛一一丨
裎	衤口王
澂	氵山一王攵
埕	土口王
柽	木又土
蛏	虫又土
酲	酉口王
枨	木长
珵	王口王
赪	土丿丨丿丶丨一冂人
偁	亻丿⺍冉
宬	宀成
牚	⺌冂口牙
珹	王成
憕	忄乛丶丿丿ㄟ一口丷一
庱	广土八夂
晟	日成
铛	钅⺌彐
吃	口乞
持	扌土寸
迟	辶尺
赤	土丿丨丿丶
痴	疒矢口
池	氵也
齿	止人凵
斥	丿丿一丨丶
驰	马也
耻	耳止
翅	十又习习
哧	口土丿丨丿丶
炽	火口八
嗤	口乛丨丨一虫
蚩	乛丨丨一虫
叱	口匕
弛	弓也
侈	亻夕夕
啻	亠丷冖巾口
敕	束攵
螭	虫亠乂凵丨乛乛丶
魑	鬼亠乂凵丨乛乛丶
饬	饣丿一力
笞	⺮厶口
匙	日一丨一人匕
踟	⻊矢口
墀	土尸氺牛
豉	一口丷一十又
媸	女乛丨丨一虫
褫	衤丿丿虍几
鸱	氐鸟
彳	丿亻
茌	艹亻士
篪	⺮丿丿虍几
瘛	疒丰刀心
摛	扌亠乂凵丨乛乛丶
眵	目夕夕
傺	亻丿乛丶丶二小
漦	未攵厂水
胣	月丿一也
瓻	乂𠂇巾瓦
痓	疒一厶土
𫄨	纟乂𠂇巾
冲	冫中
充	亠厶儿
重	丿一丨乛一一丨一一
虫	中一丶
崇	山宀二小
宠	宀龙
忡	忄中
憧	忄立里
铳	钅亠厶儿
舂	寿上ㄟ臼
艟	舟立里
翀	习习中
茺	艹亠厶儿
珫	王亠厶儿
漴	氵山宀二小
涌	氵龴用
种	禾中
㳘	氵亠厶儿
摏	扌寿上ㄟ臼
抽	扌由
仇	亻九
臭	自犬
丑	乛丨一一
愁	禾火心
筹	⺮寿上寸
瞅	目禾火
酬	酉州
绸	纟冂土口
畴	田寿上寸
踌	⻊寿上寸
惆	忄冂土口
稠	禾冂土口
俦	亻寿上寸
雠	亻亠龶讠亻亠龶
瘳	疒习习人丿丿丿
犨	亻亠龶亻亠龶牛
帱	巾寿上寸
杻	木丑
侴	人一丑刂
椆	木冂土口
出	乛丨丨凵
处	夂卜
楚	木木乛丨一人
除	阝人余下
初	衤刀
触	⺈用虫
厨	厂一口丷一寸
础	石出
储	亻讠耂日
畜	亠幺田
褚	衤耂日
搐	扌亠幺田
橱	木厂一口丷一寸
躇	⻊艹耂日
雏	⺈彐亻亠龶
锄	钅且力
矗	十具上十具上十具上
杵	木午
楮	木耂日
怵	忄术
黜	黑出
绌	纟出
蜍	虫人余下
刍	⺈彐
滁	氵阝人余下
樗	木雨亏
蹰	⻊厂一口丷一寸
憷	忄木木乛丨一人
亍	二丨
俶	亻上小又
斶	斤罒勹虫
摴	扌雨亏
䝙	豸匚乂
䢺	出阝
濋	氵木木乛丨一人
琡	王上小又
𬺓	止人凵木木乛丨一人
欻	火火⺈人
揣	扌山而
踹	⻊山而
搋	扌丿丿虍几
啜	口又又又又
传	亻专
穿	宀八牙
船	舟几口
川	丿丨丨
喘	口山而
串	丨乛一丨乛一丨
钏	钅川
椽	木乛乛豕
舛	夕一乛丨
遄	辶山而
氚	气川
床	广木
窗	宀八丿囗夂
创	人乛乛刂
疮	疒人乛乛
闯	门马
怆	忄人乛乛
幢	巾立里
噇	口立里
吹	口⺈人
垂	丿一丨一丨丨一一
锤	钅垂
捶	扌垂
炊	火⺈人
槌	木丿㠯辶
陲	阝垂
棰	木垂
倕	亻垂
圌	囗山而
春	寿上ㄟ日
纯	纟屯
唇	厂二乛丿ㄟ口
蠢	寿上ㄟ日虫虫
淳	氵亠口子
醇	酉亠口子
椿	木寿上ㄟ日
鹑	亠口子鸟
莼	艹纟屯
蝽	虫寿上ㄟ日
瑃	王寿上ㄟ日
䲠	鱼寿上ㄟ日
堾	土寿上ㄟ日
𬭚	钅亠口子
戳	习习亻亠龶戈
龊	止人凵口丨一人
辍	车又又又又
踔	⻊丨一日十
惙	忄又又又又
逴	辶丨一日十
此	止匕
次	冫⺈人
刺	一丨乛丨丿ㄟ刂
词	讠乛一口
辞	千口立十
慈	丷一幺幺心
赐	冂人日勿
磁	石丷一幺幺
伺	亻乛一口
瓷	冫⺈人瓦
茨	艹冫⺈人
雌	止匕亻亠龶
祠	礻乛一口
呲	口止匕
疵	疒止匕
泚	氵止匕
糍	米丷一幺幺
鹚	丷一幺幺鸟
茈	艹止匕
跐	⻊止匕
玼	王止匕
佽	亻冫⺈人
兹	丷一幺幺
莿	艹一丨乛丨丿ㄟ刂
𫚖	止匕鱼
从	人人
匆	勹丿丿丶
聪	耳丷口心
丛	人人一
葱	艹匆心
琮	王宀二小
淙	氵宀二小
囱	丿囗夂
骢	马丿囗夂心
苁	艹人人
枞	木人人
璁	王丿囗夂心
熜	火丿囗夂心
悰	忄宀二小
凑	冫寿上ㄟ天
辏	车寿上ㄟ天
腠	月寿上ㄟ天
粗	米且
促	亻口丨一人
醋	酉艹一日
簇	⺮方丿一矢
猝	犭亠人人十
蹙	戊上小口丨一人
蹴	⻊亠口小尤
卒	亠人人十
徂	彳且
殂	歹且
蔟	艹方丿一矢
窜	宀八串
蹿	⻊宀八串
篡	⺮目大厶
撺	扌宀八串
攒	扌⺧儿⺧儿冂人
汆	入水
爨	丿丨一一冂一口乛一一冖木木大火
镩	钅宀八串
脆	月⺈厂乛乛
催	亻山亻亠龶
翠	习习亠人人十
崔	山亻亠龶
摧	扌山亻亠龶
粹	米亠人人十
悴	忄亠人人十
璀	王山亻亠龶
啐	口亠人人十
萃	艹亠人人十
瘁	疒亠人人十
淬	氵亠人人十
榱	木亠丨乛一一𧘇
毳	毛毛毛
漼	氵山亻亠龶
缞	纟亠丨乛一一𧘇
存	𠂇丨子
村	木寸
寸	一丨丶
忖	忄寸
皴	厶八夂乛丿丨又
邨	屯阝
错	钅艹一日
措	扌艹一日
挫	扌人人土
搓	扌⺶工
撮	扌日耳又
磋	石⺶工
蹉	⻊⺶工
锉	钅人人土
厝	厂艹一日
矬	矢人人土
嵯	山⺶工
痤	疒人人土
鹾	丨一囗乂⺶工
脞	月人人土
瑳	王⺶工
棤	木艹一日
莝	艹人人土
大	𠂇ㄟ
打	扌丁
答	⺮人一口
达	辶大
搭	扌艹人一口
哒	口大辶
瘩	疒艹人一口
嗒	口艹人一口
沓	水日
耷	大耳
鞑	革大辶
靼	革日一
妲	女日一
褡	衤艹人一口
跶	⻊大辶
怛	忄日一
笪	⺮日一
垯	土大辶
溚	氵艹人一口
炟	火日一
荙	艹大辶
鿎	石大辶
𨱏	钅艹人一口
𫟼	钅大辶
带	带上冖巾
代	亻弋
待	彳土寸
呆	口木
袋	亻弋亠𧘇
戴	十戈田艹一八
黛	亻弋黑
歹	一夕
贷	亻弋冂人
逮	辶乛一一丨冫丿ㄟ
怠	厶口心
殆	歹厶口
岱	亻弋山
玳	王亻弋
呔	口太
傣	亻寿上ㄟ氺
迨	辶厶口
绐	纟厶口
叇	二厶乛一一丨冫丿ㄟ辶
埭	土乛一一丨冫丿ㄟ
骀	马厶口
轪	车大
垈	亻弋土
但	亻日一
淡	氵火火
担	扌日一
弹	弓丷丨乛一一一丨
丹	丿乛丶一
蛋	乛丨一人虫
胆	月日一
旦	日一
诞	讠丿丨一乛廴
耽	耳丶乛丿乛
惮	忄丷丨乛一一一丨
石	一丿口
眈	目丶乛丿乛
澹	氵⺈厂八亠一一口
掸	扌丷丨乛一一一丨
郸	丷丨乛一一一丨阝
殚	歹丷丨乛一一一丨
啖	口火火
氮	气火火
儋	亻⺈厂八亠一一口
聃	耳冉
箪	⺮丷丨乛一一一丨
亶	亠囗口日一
疸	疒日一
萏	艹⺈臼
瘅	疒丷丨乛一一一丨
疍	乛丨一人日一
赕	冂人火火
憺	忄⺈厂八亠一一口
膻	月亠囗口日一
𫢸	亻丷丨乛一一一丨
𬘘	纟丶乛丿乛
当	⺌彐
党	⺌冖口儿
荡	艹氵乛丿丿
挡	扌⺌彐
档	木⺌彐
裆	衤⺌彐
宕	宀石
砀	石乛丿丿
珰	王⺌彐
凼	水凵
谠	讠⺌冖口儿
垱	土⺌彐
菪	艹宀石
筜	⺮⺌彐
𣗋	木⺌冖口儿
𬍡	氵乛丿丿玉
到	一厶土刂
倒	亻一厶土刂
道	辶丷一自
刀	乛丿
导	巳寸
岛	丿乛丶乛山
盗	冫⺈人皿
叨	口刀
蹈	⻊丿⺍臼
祷	礻寿上寸
捣	扌丿乛丶乛山
稻	禾丿⺍臼
悼	忄丨一日十
纛	龶母具上小丿幺小
忉	忄刀
氘	气丿丨
捯	扌一厶土刂
鱽	鱼刀
舠	舟刀
的	白勺
地	土也
得	彳日一寸
德	彳十罒一心
嘚	口彳日一寸
锝	钅日一寸
扽	扌屯
等	⺮土寸
灯	火丁
登	乛丶丿丿ㄟ一口丷一
瞪	目乛丶丿丿ㄟ一口丷一
邓	又阝
凳	乛丶丿丿ㄟ一口丷一几
蹬	⻊乛丶丿丿ㄟ一口丷一
噔	口乛丶丿丿ㄟ一口丷一
镫	钅乛丶丿丿ㄟ一口丷一
磴	石乛丶丿丿ㄟ一口丷一
戥	日生戈
嶝	山乛丶丿丿ㄟ一口丷一
璒	王乛丶丿丿ㄟ一口丷一
第	⺮乛一乛丨丿
弟	丷乛一乛丨丿
底	广氐
低	亻氐
帝	亠丷冖巾
敌	千口攵
抵	扌氐
递	辶丷乛一乛丨丿
迪	辶由
滴	氵亠丷冂十口
蒂	艹亠丷冖巾
狄	犭火
笛	⺮由
嘀	口亠丷冂十口
堤	土日一丨一人
邸	氐阝
嫡	女亠丷冂十口
棣	木乛一一丨冫丿ㄟ
缔	纟亠丷冖巾
谛	讠亠丷冖巾
涤	氵夂朩
荻	艹犭火
娣	女丷乛一乛丨丿
诋	讠氐
氐	氏丶
砥	石氐
镝	钅亠丷冂十口
睇	目丷乛一乛丨丿
坻	土氐
柢	木氐
鞮	革日一丨一人
羝	⺶氐
觌	十乛丶丶大冂见下
籴	入米
骶	骨氐
碲	石亠丷冖巾
禘	礻亠丷冖巾
翟	习习亻亠龶
踶	⻊日一丨一人
菂	艹白勺
髢	一丨一二厶丿丿丿也
玓	王勺
杕	木大
蹢	⻊亠丷冂十口
媂	女亠丷冖巾
提	扌日一丨一人
䃅	石丷丨乛一一一丨
䗖	虫带上冖巾
茋	艹氐
𤧛	王亠丷冖巾
𬱖	由一丿冂人
嗲	口八乂夕夕
点	丨一口灬
电	丨乛一一乛
店	广丨一口
殿	尸艹一八几又
典	丨乛一丨丨一八
颠	十具上八一丿冂人
垫	扌丸土
甸	勹田
惦	忄广丨一口
奠	丷酉大
掂	扌广丨一口
癫	疒十具上八一丿冂人
巅	山十具上八一丿冂人
淀	氵宀一丨一人
滇	氵十具上八
玷	王丨一口
踮	⻊广丨一口
佃	亻田
靛	龶月宀一丨一人
碘	石丨乛一丨丨一八
钿	钅田
簟	⺮西日十
癜	疒尸艹一八几又
坫	土丨一口
阽	阝丨一口
扂	户丨一口
琔	王宀一丨一人
掉	扌丨一日十
调	讠冂土口
屌	尸口巾
雕	冂土口亻亠龶
吊	口巾
钓	钅勺
刁	乛一
叼	口刁
貂	豸刀口
凋	冫冂土口
碉	石冂土口
鲷	鱼冂土口
铫	钅儿冫丿丶
铞	钅口巾
窎	宀八鸟
汈	氵刁
爹	八乂夕夕
蝶	虫世木
跌	⻊失
叠	又又又冖且
碟	石世木
迭	辶失
谍	讠世木
喋	口世木
牒	片世木
堞	土世木
耋	耂匕一厶土
鲽	鱼世木
昳	日失
蹀	⻊世木
瓞	瓜失
垤	土一厶土
绖	纟一厶土
楪	木世木
𫶇	山带上冖巾
定	宀一丨一人
顶	丁一丿冂人
丁	一丨
盯	目丁
订	讠丁
叮	口丁
鼎	目乛一丿丨一丨乛
钉	钅丁
锭	钅宀一丨一人
町	田丁
仃	亻丁
酊	酉丁
腚	月宀一丨一人
玎	王丁
碇	石宀一丨一人
疔	疒丁
啶	口宀一丨一人
耵	耳丁
萣	艹宀一丨一人
丢	丿土厶
铥	钅丿土厶
动	二厶力
东	一乛丨丿丶
洞	氵冂一口
懂	忄艹重
冬	夂丶丶
董	艹重
冻	冫东
栋	木东
咚	口夂丶丶
峒	山冂一口
胴	月冂一口
侗	亻冂一口
恫	忄冂一口
鸫	东鸟
垌	土冂一口
硐	石冂一口
氡	气夂丶丶
胨	月东
岽	山东
𬟽	虫东
都	耂日阝
斗	丶丶十
抖	扌丶丶十
豆	一口丷一
