薙	艹矢亻亠龶
楣	木乛丨一丿目
酶	酉丿一母
镁	钅⺷大
郿	乛丨一丿目阝
浼	氵⺈丨乛一丿乛
鹛	乛丨一丿目鸟
镅	钅乛丨一丿目
渼	氵⺷大
糜	广木木米
媄	女⺷大
瑂	王乛丨一丿目
门	丶丨乛
们	亻门
闷	门心
懑	氵艹两心
扪	扌门
焖	火门心
钔	钅门
呇	水口
𫞩	王艹两
梦	木木夕
猛	犭子皿
蒙	艹冖二丿乛丿丿丿ㄟ
孟	子皿
盟	日月皿
朦	月艹冖二丿乛丿丿丿ㄟ
萌	艹日月
懵	忄艹罒冖目
檬	木艹冖二丿乛丿丿丿ㄟ
蜢	虫子皿
勐	子皿力
虻	虫亡
艨	舟艹冖二丿乛丿丿丿ㄟ
锰	钅子皿
幪	巾艹冖二丿乛丿丿丿ㄟ
艋	舟子皿
蠓	虫艹冖二丿乛丿丿丿ㄟ
瞢	艹罒冖目
甍	艹罒冖瓦
獴	犭艹冖二丿乛丿丿丿ㄟ
礞	石艹冖二丿乛丿丿丿ㄟ
㠓	山艹冖二丿乛丿丿丿ㄟ
鹲	艹冖二丿乛丿丿丿ㄟ鸟
𫑡	口电阝
密	宀必山
米	丶丿木
迷	辶米
弥	弓⺈小
蜜	宀必虫
眯	目米
咪	口米
谜	讠米辶
觅	丿⺍冂见下
靡	广木木非
谧	讠必皿
祢	礻⺈小
芈	丨一丨一一一丨
麋	广乛丨丨一比左匕米
弭	弓耳
汨	氵日
猕	犭弓⺈小
幂	冖日大巾
縻	广木木幺小
蘼	艹广木木非
醚	酉米辶
祕	礻必
敉	米攵
嘧	口宀必山
蓂	艹冖日亠八
脒	月米
洣	氵米
醾	酉广木木米
面	一丿囗丨丨一一
免	⺈丨乛一丿乛
勉	⺈丨乛一丿乛力
绵	纟白巾
眠	目民
棉	木白巾
缅	纟面
冕	冂一一⺈丨乛一丿乛
腼	月面
娩	女⺈丨乛一丿乛
湎	氵面
沔	氵丏
渑	氵口电
眄	目丏
丏	一丨乛乛
勔	面力
愐	忄面
偭	亻面
𩾃	鱼⺈丨乛一丿乛
妙	女少
秒	禾少
描	扌艹田
苗	艹田
庙	广由
渺	氵目少
瞄	目艹田
淼	水水水
喵	口艹田
缈	纟目少
藐	艹豸白儿
邈	辶豸白儿
眇	目少
杪	木少
鹋	艹田鸟
缪	纟习习人丿丿丿
灭	一火
蔑	艹罒戍
乜	乛乛
咩	口羊
篾	⺮罒戍
民	乛一乛一乛
敏	丿一母攵
抿	扌民
悯	忄门文
闵	门文
珉	王民
泯	氵民
闽	门虫
皿	丨乛丨丨一
岷	山民
旻	日文
缗	纟民日
愍	民攵心
湣	氵民日
黾	口电
忞	文心
鳘	丿一母攵鱼
苠	艹民
明	日月
名	夕口
命	人一口卩
鸣	口鸟
冥	冖日亠八
铭	钅夕口
茗	艹夕口
瞑	目冖日亠八
溟	氵冖日亠八
酩	酉夕口
暝	日冖日亠八
螟	虫冖日亠八
洺	氵夕口
谬	讠习习人丿丿丿
魔	广木木鬼
莫	艹日大
默	黑犬
模	木艹日大
摸	扌艹日大
磨	广木木石
末	一一丨丿ㄟ
漠	氵艹日大
墨	黑土
麽	广木木么
陌	阝百
寞	宀艹日大
蓦	艹日大马
沫	氵末
膜	月艹日大
茉	艹末
嬷	女广木木么
蘑	艹广木木石
摹	艹日大手
馍	饣艹日大
谟	讠艹日大
嫫	女艹日大
秣	禾末
殁	歹几又
貊	豸百
靺	革末
貘	豸艹日大
镆	钅艹日大
瘼	疒艹日大
耱	耒广木木石
万	一乛丿
无	一尢
藦	艹广木木手
𬙊	纟黑土
某	甘木
谋	讠甘木
眸	目厶牛
牟	厶牛
哞	口厶牛
鍪	龴乛丨丿攵金
侔	亻厶牛
蛑	虫厶牛
目	囗一一
母	乛乛丶一丶
木	十丿ㄟ
慕	艹日大⺗
幕	艹日大巾
姆	女母
穆	禾白少丿丿
牧	牛攵
墓	艹日大土
沐	氵木
暮	艹日大日
拇	扌母
牡	牛土
亩	亠田
募	艹日大力
睦	目土八土
苜	艹目
呒	口无
钼	钅目
毪	毛厶牛
仫	亻么
𧿹	⻊母
𬭁	钅母
那	乛一一丿阝
哪	口乛一一丿阝
拿	人一口手
娜	女乛一一丿阝
纳	纟内
呐	口内
捺	扌大二小
衲	衤内
钠	钅内
肭	月内
镎	钅人一口手
乸	也母
南	十冂丷干
𦰡	艹乛一一丿阝
奶	女乃
奈	大二小
耐	而寸
乃	乛丿
鼐	乃目乛一丿丨一丨乛
氖	气乃
萘	艹大二小
艿	艹乃
柰	木二小
佴	亻耳
迺	辶西
难	又亻亠龶
男	田力
喃	口十冂丷干
楠	木十冂丷干
囡	囗女
赧	土丿丨丿丶卩又
腩	月十冂丷干
蝻	虫十冂丷干
萳	艹十冂丷干
婻	女十冂丷干
囊	一丨乛一丨冖口口一一丨丨一𧘇
囔	口一丨乛一丨冖口口一一丨丨一𧘇
馕	饣一丨乛一丨冖口口一一丨丨一𧘇
攮	扌一丨乛一丨冖口口一一丨丨一𧘇
曩	日亠口口一一丨丨一𧘇
齉	自田一丿丨一丨乛一丨冖口口一一丨丨一𧘇
脑	月亠乂凵
闹	门亠巾
恼	忄亠乂凵
挠	扌一乛丿兀
瑙	王乛乛乛丿囗乂
孬	不女子
呶	口女又
淖	氵丨一日十
猱	犭龴乛丨丿木
铙	钅一乛丿兀
垴	土亠乂凵
蛲	虫一乛丿兀
硇	石丿囗乂
臑	月雨而
峱	犭丑山
呢	口尸匕
讷	讠内
内	丨乛丿丶
馁	饣丿⺍女
嫩	女束攵
恁	亻壬心
能	厶月匕匕
你	亻⺈小
尼	尸匕
妮	女尸匕
泥	氵尸匕
逆	辶丷一乛丨丿
拟	扌乛丶人
腻	月弋二冂人
倪	亻臼儿
霓	雨臼儿
匿	匚艹𠂇口
溺	氵弓冫弓冫
昵	日尸匕
睨	目臼儿
旎	方丿一尸匕
怩	忄尸匕
猊	犭臼儿
鲵	鱼臼儿
伲	亻尸匕
坭	土尸匕
铌	钅尸匕
麑	广乛丨丨一比左匕臼儿
薿	艹匕矢龴乛丨一人
𨺙	阝臼儿
𫐐	车臼儿
𫠜	止人凵臼儿
年	丿一一丨一丨
念	人丶乛心
黏	禾人氺丨一口
拈	扌丨一口
捻	扌人丶乛心
碾	石尸艹一乛丿ㄟ
撵	扌夫夫车
蔫	艹正一乛灬
廿	艹一
辇	夫夫车
鲇	鱼丨一口
鲶	鱼人丶乛心
埝	土人丶乛心
粘	米丨一口
娘	女良
酿	酉良
鸟	乌丶
尿	尸水
袅	丿乛丶乛亠𧘇
茑	艹鸟
脲	月尸水
捏	扌日土
聂	耳又又
孽	艹丿㠯立十子
涅	氵日土
蹑	⻊耳又又
嗫	口耳又又
啮	口止人凵
臬	自木
镊	钅耳又又
镍	钅自木
蘖	艹丿㠯立十木
颞	耳又又一丿冂人
糵	艹丿㠯立十米
陧	阝日土
嵲	山自木
菍	艹人丶乛心
𫔶	门自木
您	亻⺈小心
宁	宀丁
凝	冫匕矢龴乛丨一人
狞	犭宀丁
拧	扌宀丁
柠	木宀丁
咛	口宀丁
泞	氵宀丁
佞	亻二女
甯	宀心用
苧	艹宀丁
聍	耳宀丁
牛	丿一一丨
扭	扌丑
纽	纟丑
妞	女丑
钮	钅丑
忸	忄丑
狃	犭丑
农	丶乛丿乛丿ㄟ
浓	氵农
哝	口农
侬	亻农
脓	月农
秾	禾农
𬪩	酉农
耨	耒厂二乛丿ㄟ寸
怒	女又心
努	女又力
奴	女又
弩	女又弓
驽	女又马
孥	女又子
傉	亻厂二乛丿ㄟ寸
胬	女又内人
砮	女又石
笯	⺮女又
暖	日丿⺍一𠂇又
诺	讠艹𠂇口
挪	扌乛一一丿阝
懦	忄雨而
喏	口艹𠂇口
糯	米雨而
傩	亻又亻亠龶
搦	扌弓冫弓冫
锘	钅艹𠂇口
女	乛丿一
钕	钅女
恧	而心
衄	血丑
虐	虍一乛一
疟	疒一乛一
噢	口丿冂米大
喔	口尸一厶土
欧	匚乂⺈人
偶	亻禺
呕	口匚乂
殴	匚乂几又
鸥	匚乂鸟
藕	艹耒禺
区	匚乂
怄	忄匚乂
瓯	匚乂瓦
讴	讠匚乂
沤	氵匚乂
耦	耒禺
𠙶	了凵
𬉼	火匚乂
怕	忄白
爬	爪巴
帕	巾白
啪	口扌白
趴	⻊八
琶	王王巴
葩	艹白巴
杷	木巴
筢	⺮扌巴
舥	舟巴
潖	氵王王巴
派	氵丿丿丿乛丿ㄟ
排	扌非
拍	扌白
牌	片丿丨乛一一丿十
徘	彳非
湃	氵龵一丰
俳	亻非
哌	口丿丿丿乛丿ㄟ
簰	⺮片丿丨乛一一丿十
蒎	艹氵丿丿丿乛丿ㄟ
迫	辶白
盘	舟皿
判	半刂
叛	半丿丿又
盼	目八刀
潘	氵丿米田
攀	木乂乂木大手
畔	田半
蹒	⻊艹两
磐	舟几又石
蟠	虫丿米田
槃	舟几又木
爿	乛丨一丿
泮	氵半
袢	衤半
磻	石丿米田
襻	衤木乂乂木大手
胖	月半
旁	亠丷冖方
庞	广龙
彷	彳方
乓	丘丶
螃	虫亠丷冖方
滂	氵亠丷冖方
逄	辶夂一乛丨
雱	雨方
耪	耒亠丷冖方
鳑	鱼亠丷冖方
跑	⻊勹巳
泡	氵勹巳
抛	扌九力
袍	衤勹巳
咆	口勹巳
庖	广勹巳
狍	犭勹巳
疱	疒勹巳
匏	大亏勹巳
脬	月丿⺍子
陪	阝立口
配	酉己
佩	亻几一巾
培	土立口
赔	冂人立口
裴	非亠𧘇
沛	氵一丨乛丨
呸	口丕
胚	月丕
帔	巾乛丿丨又
辔	纟车纟口
霈	雨氵一丨乛丨
旆	方丿一一丨乛丨
醅	酉立口
锫	钅立口
衃	血不
喷	口十艹冂人
盆	八刀皿
湓	氵八刀皿
朋	月月
碰	石丷亚
彭	士口丷一丿丿丿
鹏	月月鸟
捧	扌寿上ㄟ一一丨
砰	石平
蓬	艹夂丰辶
篷	⺮夂丰辶
棚	木月月
膨	月士口丷一丿丿丿
澎	氵士口丷一丿丿丿
怦	忄平
嘭	口士口丷一丿丿丿
烹	亠口了灬
抨	扌平
芃	艹凡
硼	石月月
蟛	虫士口丷一丿丿丿
堋	土月月
椪	木丷亚
弸	弓月月
淜	氵月月
皮	乛丿丨又
批	扌比左匕
屁	尸比左匕
疲	疒乛丿丨又
匹	匚儿
劈	尸口立十刀
披	扌乛丿丨又
脾	月丿丨乛一一丿十
啤	口丿丨乛一一丿十
僻	亻尸口立十
霹	雨尸口立十
痞	疒不口
譬	尸口立十亠一一口
噼	口尸口立十
琵	王王比左匕
癖	疒尸口立十
媲	女丿囗乂比左匕
丕	不一
毗	田比左匕
坯	土丕
纰	纟比左匕
睥	目丿丨乛一一丿十
邳	丕阝
砒	石比左匕
貔	豸丿囗乂比左匕
枇	木比左匕
罴	罒土厶灬
圮	土己
鼙	士口丷一十又丿丨乛一一丿十
蚍	虫比左匕
铍	钅乛丿丨又
郫	丿丨乛一一丿十阝
仳	亻比左匕
伾	亻丕
蜱	虫丿丨乛一一丿十
埤	土丿丨乛一一丿十
嚭	士口丷一口不口
陴	阝丿丨乛一一丿十
淠	氵田一丿丨
甓	尸口立十瓦
狉	犭丕
澼	氵尸口立十
鲏	鱼乛丿丨又
䴙	尸口立十鸟
苉	艹匚儿
𬳵	马丕
片	丿丨一乛
偏	亻户冂艹
骗	马户冂艹
篇	⺮户冂艹
翩	户冂艹习习
骈	马丷开
蹁	⻊户冂艹
谝	讠户冂艹
胼	月丷开
犏	牛户冂艹
楩	木亻更
㛹	女亻更
𡎚	土户冂艹
飘	西二小几乂
漂	氵西二小
票	西二小
瞟	目西二小
嫖	女西二小
瓢	西二小瓜
缥	纟西二小
剽	西二小刂
朴	木卜
殍	歹丿⺍子
嘌	口西二小
螵	虫西二小
蔈	艹西二小
薸	艹氵西二小
撇	扌丶丿丨乛丨丿丶攵
瞥	丶丿丨乛丨丿丶攵目
苤	艹丕
氕	气丿
𬭯	钅丶丿丨乛丨丿丶攵
品	口口口
拼	扌丷开
贫	八刀冂人
频	止丨丿丿一丿冂人
聘	耳由一乛
嫔	女宀丘八
颦	止丨丿丿一丿冂人丿丨乛一一丿十
姘	女丷开
牝	牛匕
玭	王比左匕
𬞟	艹止丨丿丿一丿冂人
平	一丶丿十
凭	亻壬几
评	讠平
瓶	丷开瓦
萍	艹氵平
苹	艹平
坪	土平
乒	丘丿
娉	女由一乛
枰	木平
鲆	鱼平
俜	亻由一乛
泙	氵平
洴	氵丷开
帡	巾丷开
荓	艹丷开
蚲	虫平
涄	氵由一乛
玶	王平
破	石乛丿丨又
婆	氵乛丿丨又女
颇	乛丿丨又一丿冂人
坡	土乛丿丨又
魄	白鬼
泼	氵乛丿又丶
珀	王白
叵	匚口
鄱	丿米田阝
粕	米白
笸	⺮匚口
皤	白丿米田
钋	钅卜
钷	钅匚口
桲	木十冖子
䥽	钅乛丿又丶
酦	酉乛丿又丶
剖	立口刂
抔	扌不
裒	亠臼𧘇
掊	扌立口
普	丷亚日
扑	扌卜
铺	钅甫
仆	亻卜
谱	讠丷亚日
葡	艹勹甫
菩	艹立口
噗	口业⺶ㄟ
浦	氵甫
蒲	艹氵甫
濮	氵亻业⺶ㄟ
璞	王业⺶ㄟ
圃	囗甫
溥	氵甫寸
匍	勹甫
莆	艹甫
蹼	⻊业⺶ㄟ
氆	毛丷亚日
潽	氵丷亚日
酺	酉甫
镨	钅丷亚日
镤	钅业⺶ㄟ
蒱	艹扌甫
墣	土业⺶ㄟ
穙	禾业⺶ㄟ
起	土丨一人己
气	丿一一乛
其	其上八
七	一乛
器	口口犬口口
骑	马大丁口
齐	文丿丨
弃	亠厶廾
妻	一乛一一丨女
企	人止
启	户口
旗	方丿一其上八
欺	其上八⺈人
岂	山己
汽	氵气
棋	木其上八
琪	王其上八
泣	氵立
凄	冫一乛一一丨女
漆	氵木人氺
戚	戊上小
契	丰刀大
乞	丿一乛
祈	礻斤
麒	广乛丨丨一比左匕其上八
歧	止十又
琦	王大丁口
祁	礻阝
绮	纟大丁口
栖	木西
炁	一乛丿乛灬
淇	氵其上八
崎	山大丁口
砌	石七刀
蹊	⻊丿⺍幺大
祺	礻其上八
迄	辶乞
杞	木己
岐	山十又
脐	月文丿丨
颀	斤一丿冂人
沏	氵七刀
跂	⻊十又
憩	千口自心
萋	艹一乛一一丨女
嘁	口戊上小
耆	耂匕日
芑	艹己
蜞	虫其上八
讫	讠乞
祇	礻氏
鳍	鱼耂匕日
亓	二丿丨
葺	艹口耳
柒	氵七木
綦	其上八幺小
蕲	艹丷丨乛一一一丨斤
畦	田土土
芪	艹氏
圻	土斤
萁	艹其上八
骐	马其上八
欹	大丁口⺈人
碛	石龶冂人
汔	氵乞
锜	钅大丁口
槭	木戊上小
蛴	虫文丿丨
屺	山己
玘	王己
桤	木山己
埼	土大丁口
棨	户攵木
郪	一乛一一丨女阝
磜	石丿乛丶丶二小
鲯	鱼其上八
愭	忄耂匕日
碶	石丰刀大
俟	亻厶矢
婍	女大丁口
洓	氵一丨乛丨丿ㄟ
䓫	艹大丁口
𨙸	十又阝
𬨂	车氏
恰	忄人一口
拤	扌上卜
掐	扌⺈臼
洽	氵人一口
葜	艹丰刀大
袷	衤人一口
髂	骨宀夂口
前	丷一月刂
钱	钅戋
千	丿十
潜	氵夫夫日
牵	大冖牛
倩	亻龶月
浅	氵戋
签	⺮人一⺍一
歉	丷一乛一一丨丨丿ㄟ⺈人
欠	⺈人
乾	十日十乞
谦	讠丷一乛一一丨丨丿ㄟ
迁	辶千
遣	辶中一㠯
茜	艹西
芊	艹千
嵌	山甘⺈人
虔	虍文
铅	钅几口
谴	讠中一㠯辶
钳	钅甘
黔	黑人丶乛
堑	车斤土
骞	宀一一丨丨一八马
佥	人一⺍一
仟	亻千
缱	纟中一㠯辶
纤	纟千
阡	阝千
钎	钅千
钤	钅人丶乛
掮	扌户月
芡	艹⺈人
荨	艹彐寸
扦	扌千
愆	彳氵亍心
悭	忄丨丨又土
搴	宀一一丨丨一八手
慊	忄丷一乛一一丨丨丿ㄟ
褰	宀一一丨丨一八亠𧘇
汧	氵开
肷	月⺈人
蒨	艹亻龶月
靬	革干
椠	车斤木
杄	木千
鹐	⺈臼鸟
岍	山开
圲	土千
伣	亻冂见下
墘	土十日十乞
磏	石丷一乛一一丨丨丿ㄟ
𬘬	纟龶月
枪	木人乛乛
墙	土十丶丿一囗口
抢	扌人乛乛
腔	月宀八工
呛	口人乛乛
跄	⻊人乛乛
蔷	艹十丶丿一囗口
锵	钅冫丨夕寸
羌	⺶乛
戕	爿戈
戗	人乛乛戈
襁	衤弓口虫
嫱	女十丶丿一囗口
樯	木十丶丿一囗口
镪	钅弓口虫
炝	火人乛乛
羟	⺶乛丶工
蜣	虫羌
玱	王人乛乛
锖	钅龶月
蔃	艹弓口虫
巧	工一乛
悄	忄⺌月
瞧	目亻亠龶灬
敲	亠口冂口丨一又
桥	木夭丿丨
乔	夭丿丨
俏	亻⺌月
翘	一乛丿兀习习
窍	宀八工一乛
鞘	革⺌月
憔	忄亻亠龶灬
峭	山⺌月
跷	⻊一乛丿兀
侨	亻夭丿丨
樵	木亻亠龶灬
撬	扌毛毛毛
锹	钅禾火
谯	讠亻亠龶灬
橇	木毛毛毛
诮	讠⺌月
荞	艹夭丿丨
愀	忄禾火
劁	亻亠龶灬刂
硗	石一乛丿兀
鞒	革夭丿丨
硚	石夭丿丨
缲	纟口口口木
雀	少丨亠龶
且	丨乛一一一
切	七刀
窃	宀八七刀
怯	忄土厶
妾	立女
惬	忄匚夹
锲	钅丰刀大
挈	丰刀手
箧	⺮匚夹
郄	乂𠂇厶阝
亲	立朩
秦	寿上ㄟ禾
琴	王王人丶乛
侵	亻彐冖又
勤	廿丨乛一一一丨一力
寝	宀冫丨彐冖又
擒	扌人亠乂凵丨乛乛丶
钦	钅⺈人
芹	艹斤
沁	氵心
禽	人亠乂凵丨乛乛丶
覃	西日十
噙	口人亠乂凵丨乛乛丶
衾	人丶乛亠𧘇
揿	扌钅⺈人
芩	艹人丶乛
溱	氵寿上ㄟ禾
吣	口心
嗪	口寿上ㄟ禾
锓	钅彐冖又
檎	木人亠乂凵丨乛乛丶
骎	马亻彐冖又
慬	忄廿丨乛一一一丨一
嵚	山钅⺈人
请	讠龶月
轻	车乛丶工
清	氵龶月
青	龶月
情	忄龶月
庆	广大
晴	日龶月
倾	亻比左一丿冂人
卿	丿乛丿即左卩
擎	艹勹口攵手
顷	比左一丿冂人
蜻	虫龶月
箐	⺮龶月
氢	气乛丶工
罄	士乛丨一丿几又缶
磬	士乛丨一丿几又石
綮	户攵幺小
氰	气龶月
黥	黑亠口小
檠	艹勹口攵木
鲭	鱼龶月
苘	艹冂口
圊	囗龶月
碃	石龶月
庼	广比左一丿冂人
勍	亠口小力
穷	宀八力
琼	王亠口小
穹	宀八弓
茕	艹冖乛十
邛	工阝
筇	⺮工阝
蛩	工凡虫
銎	工凡金
䓖	艹宀八力
求	一丨冫丿ㄟ丶
球	王求
秋	禾火
丘	丿丨一丨一
邱	丘阝
囚	囗人
裘	求亠𧘇
酋	丷酉
虬	虫乛
糗	米自犬
鳅	鱼禾火
蚯	虫丘
俅	亻求
泅	氵囗人
遒	辶丷酉
逑	辶求
楸	木禾火
犰	犭九
萩	艹禾火
蝤	虫丷酉
璆	王习习人丿丿丿
巯	乛丶工亠厶丿丨乛
赇	冂人求
鹙	禾火鸟
鞧	革丷酉
鼽	自田一丿丨九
訄	九亠一一口
𨱇	钅求
去	土厶
取	耳又
趣	土丨一人耳又
曲	丨乛一丨丨一
屈	尸出
躯	身匚乂
驱	马匚乂
娶	耳又女
趋	土丨一人⺈彐
渠	氵巨木
觑	虍业冂见下
瞿	目目亻亠龶
岖	山匚乂
蛐	虫曲
蛆	虫且
衢	彳目目亻亠龶亍
祛	礻土厶
黢	黑厶八夂
癯	疒目目亻亠龶
阒	门目犬
龋	止人凵禹
蕖	艹氵巨木
蘧	艹虍豕辶
朐	月勹口
璩	王虍豕
劬	勹口力
磲	石氵巨木
诎	讠出
蠼	虫目目亻亠龶又
袪	衤土厶
氍	目目亻亠龶毛
鸲	勹口鸟
麹	龶夂勹米
胠	月土厶
灈	氵目目亻亠龶
鼩	臼乛丶丶乛丶丶乛勹口
竘	立勹口
戌	戊一
㭕	木土厶
䓛	艹尸出
坥	土且
𪨰	山曲
𫭟	土匚乂
全	人王
权	木又
拳	龹手
劝	又力
泉	白水
犬	大丶
券	龹刀
蜷	虫龹乛乛
痊	疒人王
诠	讠人王
荃	艹人王
颧	艹口口亻亠龶一丿冂人
绻	纟龹乛乛
铨	钅人王
筌	⺮人王
鬈	一丨一二厶丿丿丿龹乛乛
醛	酉艹人王
悛	忄厶八夂
佺	亻人王
畎	田犬
棬	木龹乛乛
鳈	鱼白水
辁	车人王
婘	女龹乛乛
瑔	王白水
𨟠	目目亻亠龶阝
却	土厶卩
确	石⺈用
缺	缶夬
瘸	疒力口内人
鹊	艹一日鸟
阙	门丷一乛丨丿⺈人
阕	门乛丶丿丿ㄟ天
榷	木丶乛丿丨亠龶
炔	火夬guài
悫	士冖几心
碏	石艹一日
埆	土⺈用
𬒈	⺍冖石
群	尹口羊
裙	衤尹口
逡	辶厶八夂
囷	囗禾
然	丿乛丶丶犬灬
染	氵九木
燃	火丿乛丶丶犬灬
冉	丨乛丨一一
髯	一丨一二厶丿丿丿冉
苒	艹冉
蚺	虫冉
䎃	冉习习
让	讠上
嚷	口亠口口一一丨丨一𧘇
壤	土亠口口一一丨丨一𧘇
攘	扌亠口口一一丨丨一𧘇
瓤	亠口口一一丨丨一𧘇瓜
禳	礻亠口口一一丨丨一𧘇
穰	禾亠口口一一丨丨一𧘇
瀼	氵亠口口一一丨丨一𧘇
蘘	艹亠口口一一丨丨一𧘇
儴	亻亠口口一一丨丨一𧘇
绕	纟一乛丿兀
扰	扌尤
饶	饣一乛丿兀
娆	女一乛丿兀
桡	木一乛丿兀
荛	艹一乛丿兀
热	扌丸灬
惹	艹𠂇口心
人	丿ㄟ
任	亻壬
认	讠人
忍	刃心
仁	亻二
刃	刀丶
韧	韦刃
壬	丿士
饪	饣壬
仞	亻刃
纫	纟刃
稔	禾人丶乛心
荏	艹亻壬
妊	女壬
衽	衤壬
轫	车刃
纴	纟壬
讱	讠刃
葚	艹其上八乛
仍	亻乃
扔	扌乃
日	囗一
驲	马日
容	宀八人口
荣	艹冖木
融	一口冂丷一丨虫
蓉	艹宀八人口
绒	纟戈𠂇
溶	氵宀八人口
戎	戈𠂇
榕	木宀八人口
茸	艹耳
熔	火宀八人口
冗	冖几
嵘	山艹冖木
镕	钅宀八人口
蝾	虫艹冖木
狨	犭戈𠂇
瑢	王宀八人口
肉	内人
柔	龴乛丨丿木
揉	扌龴乛丨丿木
蹂	⻊龴乛丨丿木
糅	米龴乛丨丿木
鞣	革龴乛丨丿木
𫐓	车龴乛丨丿木
如	女口
入	丿ㄟ
辱	厂二乛丿ㄟ寸
乳	丿⺍子乛
儒	亻雨而
茹	艹女口
汝	氵女
蠕	虫雨而
孺	子雨而
褥	衤厂二乛丿ㄟ寸
嚅	口雨而
濡	氵雨而
缛	纟厂二乛丿ㄟ寸
襦	衤雨而
溽	氵厂二乛丿ㄟ寸
蓐	艹厂二乛丿ㄟ寸
洳	氵女口
薷	艹雨而
颥	雨而一丿冂人
嬬	女雨而
铷	钅女口
软	车⺈人
阮	阝二儿
堧	土而大
瓀	王雨而
媆	女而大
瑞	王山而
锐	钅丷口儿
蕊	艹心心心
睿	丨一冖一八人目
芮	艹内
蚋	虫内
蕤	艹豕生
枘	木内
汭	氵内
润	氵门王
闰	门王
若	艹𠂇口
弱	弓冫弓冫
偌	亻艹𠂇口
箬	⺮艹𠂇口
婼	女艹𠂇口
爇	艹土八土丸灬
蒻	艹弓冫弓冫
鄀	艹𠂇口阝
萨	艹阝产
撒	扌艹一月攵
洒	氵西
飒	立几乂
仨	亻三
卅	一丿丨丨
靸	革及
挲	氵少手
潵	氵艹一月攵
脎	月乂朩
赛	宀一一丨丨一八冂人
塞	宀一一丨丨一八土
腮	月田心
噻	口宀一一丨丨一八丶丶土
鳃	鱼田心
三	一二
散	艹一月攵
伞	人丶丿十
叁	厶大三
馓	饣艹一月攵
毵	厶大丿丿丿毛
糁	米厶大丿丿丿
丧	十丶丿一乛丿ㄟ
桑	又又又木
嗓	口又又又木
搡	扌又又又木
颡	又又又木一丿冂人
磉	石又又又木
扫	扌彐
骚	马叉虫
嫂	女丿丨一乛一一丨又
搔	扌叉虫
臊	月口口口木
瘙	疒叉虫
缫	纟乛乛乛果
埽	土彐冖巾
溞	氵叉虫
色	⺈巴
瑟	王王必
涩	氵刃止
啬	十丶丿一囗口
穑	禾十丶丿一囗口
铯	钅⺈巴
璱	王王王必
森	木木木
僧	亻丷囗⺌日
啥	口人干口
傻	亻丿囗乂八夂
杀	乂朩
莎	艹氵少
煞	⺈彐攵灬
纱	纟少
沙	氵少
厦	厂一自夂
霎	雨立女
砂	石少
鲨	氵少鱼
裟	氵少亠𧘇
铩	钅乂朩
嗄	口一自夂
歃	千臼⺈人
痧	疒氵少
唼	口立女
杉	木丿丿丿
晒	日西
筛	⺮丨丿一巾
山	丨凵
删	册刂
闪	门人
善	羊丶丿一口
扇	户习习
衫	衤丿丿丿
珊	王册
擅	扌亠囗口日一
姗	女册
讪	讠山
陕	阝夹
煽	火户习习
膳	月羊丶丿一口
跚	⻊册
潸	氵木木月
缮	纟羊丶丿一口
汕	氵山
赡	冂人⺈厂八亠一一口
鳝	鱼羊丶丿一口
舢	舟山
苫	艹丨一口
嬗	女亠囗口日一
鄯	羊丶丿一口阝
骟	马户习习
蟮	虫羊丶丿一口
墡	土羊丶丿一口
剡	火火刂
疝	疒山
芟	艹几又
埏	土丿丨一乛廴
钐	钅丿丿丿
嶦	山⺈厂八亠一一口
晱	日火火
栅	木册
烻	火丿丨一乛廴
𫮃	土丷丨乛一一一丨
上	丨一一
伤	亻丿一力
商	亠丷冂八口
尚	⺌冂口
赏	⺌冖口冂人
晌	日丿冂口
殇	歹丿一乛丿丿
觞	⺈用丿一乛丿丿
熵	火亠丷冂八口
墒	土亠丷冂八口
绱	纟⺌冂口
垧	土丿冂口
少	小丿
烧	火一乛丿兀
稍	禾⺌月
绍	纟刀口
哨	口⺌月
邵	刀口阝
勺	勹丶
梢	木⺌月
韶	立日刀口
劭	刀口力
捎	扌⺌月
芍	艹勺
苕	艹刀口
艄	舟⺌月
筲	⺮⺌月
潲	氵禾⺌月
蛸	虫⺌月
睄	目⺌月
召	刀口
柖	木刀口
玿	王刀口
社	礻土
射	身寸
设	讠几又
舍	人干口
蛇	虫宀匕
舌	千口
涉	氵止丨丿丿
摄	扌耳又又
奢	大耂日
慑	忄耳又又
赦	土丿丨丿丶攵
折	扌斤
佘	人二小
麝	广乛丨丨一比左匕身寸
赊	冂人人二小
畲	人二小田
猞	犭人干口
歙	人一口习习⺈人
滠	氵耳又又
厍	厂车
拾	扌人一口
𪨶	山大车
谁	讠亻亠龶
神	礻申
深	氵冖八木
身	丿丨乛一一一丿
甚	其上八乛
什	亻十
伸	亻申
沈	氵丶乛丿乛
审	宀申
申	丨乛一一丨
慎	忄十具上八
呻	口申
渗	氵厶大丿丿丿
婶	女宀申
绅	纟申
肾	丨丨又月
莘	艹立十
珅	王申
蜃	厂二乛丿ㄟ虫
哂	口西
娠	女厂二乛丿ㄟ
燊	火火火木
瘆	疒厶大丿丿丿
椹	木其上八乛
砷	石申
诜	讠⺧儿
甡	生生
谂	讠人丶乛心
矧	矢弓丨
胂	月申
侁	亻⺧儿
瞫	目西日十
鲹	鱼厶大丿丿丿
